location_id,latitude,longitude,zone_area_km2,pvout_level1_area_km2,pvout_level1_data_area_km2,pvout_level1_mean,pvout_level1_twh_per_mw_km2,pvout_level1_twh_y,pvout_level2_area_km2,pvout_level2_data_area_km2,pvout_level2_mean,pvout_level2_twh_per_mw_km2,pvout_level2_twh_y,assumed_mw_per_km2
4585,21.986743,12.308287,28958.564584,1456.958234,1456.958234,5.242689,2.788008,83.640249,1456.156786,1456.156786,5.242716,2.786489,83.594668,30.000000
1405,22.108765,13.736812,26722.437841,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,30.000000
1589,18.179499,17.919350,33543.228622,3288.492820,3288.492820,5.071059,6.086792,182.603752,3250.130242,3250.130242,5.071612,6.016441,180.493231,30.000000
747,16.359692,16.101294,47740.095643,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,30.000000
3561,16.438880,17.891787,31955.979318,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,30.000000
4713,19.116057,16.956354,32390.913321,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,30.000000
2620,18.379184,15.315193,45395.332586,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,30.000000
4599,18.605293,19.417642,27372.562158,7370.732703,7370.732703,5.121471,13.778383,413.351494,7310.285317,7310.285317,5.122219,13.667381,410.021440,30.000000
4683,16.912061,19.311497,27516.220140,703.186586,703.186586,5.040383,1.293680,38.810413,671.925756,671.925756,5.038267,1.235650,37.069490,30.000000
1507,20.520342,18.628641,40094.222594,2707.608928,2707.608928,5.600392,5.534740,166.042192,2707.608928,2707.608928,5.600392,5.534740,166.042192,30.000000
4376,-5.460340,-76.249333,26969.413925,1772.219690,1772.219690,3.870282,2.503532,75.105946,1759.408848,1759.408848,3.869735,2.485083,74.552491,30.000000
805,-4.009106,-76.952359,37368.722355,1031.017415,1031.017415,3.657759,1.376493,41.294789,977.928942,977.928942,3.666482,1.308729,39.261874,30.000000
3764,-5.590615,-77.701879,32501.501035,5848.681475,5848.681475,3.684764,7.866119,235.983565,5663.328115,5663.328115,3.690810,7.629327,228.879809,30.000000
2614,-4.863847,-75.010384,37894.632624,1059.996380,1059.996380,3.901736,1.509576,45.287290,753.691783,753.691783,3.906065,1.074549,32.236461,30.000000
1190,-6.891946,-76.957410,28930.797739,7309.357065,7309.357065,3.876467,10.342086,310.262593,7258.224536,7258.224536,3.877168,10.271595,308.147860,30.000000
3839,-6.961803,-75.411149,34052.412378,1595.662126,1595.662126,4.007156,2.333834,70.015033,1510.354529,1510.354529,4.014845,2.213301,66.399041,30.000000
1745,-1.140628,-80.578419,20712.473270,16930.840998,16930.840998,3.173980,19.614425,588.432756,13627.457000,13627.457000,3.164522,15.740400,472.212010,30.000000
952,-1.063147,-78.279718,37281.172456,12524.444087,12524.444087,3.597875,16.447405,493.422137,12167.286970,12167.286970,3.600509,15.990078,479.702334,30.000000
2213,0.694299,-79.751031,19104.466718,14262.330070,14262.330070,2.969559,15.458782,463.763463,13604.631436,13604.631436,2.970577,14.750966,442.528984,30.000000
4311,-2.272779,-79.781175,25455.046394,18589.597652,18589.597652,3.319474,22.523304,675.699129,14570.999398,14570.999398,3.315336,17.632334,528.970027,30.000000
336,-3.512074,-80.487426,18464.362321,11500.287978,11500.287978,4.023160,16.887635,506.629063,9931.056078,9931.056078,4.024052,14.586526,437.595778,30.000000
2782,0.456341,-73.909877,39820.061048,1151.376137,1151.376137,3.807303,1.600028,48.000837,1141.931294,1141.931294,3.807394,1.586940,47.608214,30.000000
1668,1.409825,-72.426948,33606.162740,3164.487599,3164.487599,3.890937,4.494180,134.825414,1776.235651,1776.235651,3.931218,2.548711,76.461325,30.000000
