location_id,latitude,longitude,population_2020,access_pct,people_no_access
3585,37.299515,-78.210376,2013216.3269190788,,0
3234,35.077164,-76.705572,715642.5839169875,,0
1081,36.849619,-76.238407,2071496.424578704,,0
3678,8.195895,-65.454828,219014.40437316897,,0
3654,2.256005,-59.199909,12890.434304862982,,0
1432,1.03505,-60.510947,58927.11905191233,,0
3666,2.383781,-61.457034,475782.2213391305,,0
1189,3.627675,-59.862318,59123.63947097957,47.19054365158081,31223
411,1.775672,-57.650323,858.6481823325157,,0
3854,0.550822,-58.636578,4739.87406944071,,0
2789,3.636122,-58.097157,4121.899512708187,,0
597,28.627274,-97.821254,810039.680602648,,0
1129,18.417362,-91.064487,444441.0976574584,77.54548645019531,99797
4098,17.475267,-92.189889,2683401.677904498,100.0,0
347,16.187542,-93.215681,2521541.0480230255,100.0,0
3844,20.922037,-99.079321,2795023.488730669,100.0,0
4674,20.555336,-97.668809,3290286.232583523,92.02133407592774,262521
1732,19.251785,-98.816595,34695001.66799694,100.0,0
3495,19.182308,-100.580419,4855581.746091247,89.87496762483016,491629
624,20.730657,-100.784753,9043143.547805786,100.0,0
1753,21.85904,-97.849956,1503731.4922782185,77.14186265733507,343725
2209,22.832448,-99.755985,982230.7912648916,100.0,0
2928,13.568896,-85.257936,1672728.6258239746,45.75594172080358,907356
1470,15.095458,-86.069512,1520484.6967978475,80.08129238734642,302861
4211,15.39825,-84.647888,117697.32738333568,1.2145591576894124,116268
576,14.457421,-83.514639,290179.4457268417,4.523013472557068,277055
2969,12.755191,-83.605849,256600.447852778,10.086936155954996,230717
1153,11.742004,-85.201497,814883.5649634004,44.61383727618626,451333
3902,12.415537,-86.534022,3904400.9331264272,92.51287681178043,292327
1383,63.756512,-102.53395,0.0,,0
4684,62.489516,-100.782834,0.0,,0
2487,65.511972,-101.038996,0.0,,0
4087,65.385187,-104.462736,0.0,,0
4235,62.336919,-103.716968,0.7967915175981943,,0
1789,61.261533,-101.767854,0.0,,0
1210,-68.599557,58.048264,0.0,,0
3956,-67.247092,56.628292,0.0,,0
15,-65.958926,54.620528,0.0,,0
52,-49.117904,70.308185,0.0,,0
3876,-68.070598,69.442071,0.0,,0
1009,-74.353229,69.747954,0.0,,0
181,-71.463679,73.920514,0.0,,0
3102,-73.376957,74.767049,0.0,,0
364,-77.332932,74.5439,0.0,,0
2633,-79.06323,71.469536,0.0,,0
2535,-76.138568,67.894392,0.0,,0
3305,-17.451043,130.701757,1421.9907217361033,,0
4773,-19.70517,136.125599,309.8413033373654,,0
4625,-22.86413,134.521347,711.2519862093031,,0
944,-25.79451,140.626435,136.53171333670616,,0
2877,-24.062454,140.665626,130.07797078043222,,0
2909,-26.885617,142.171819,143.81903798878193,,0
3615,-24.542134,142.261834,183.56521109119055,,0
3801,-27.812799,140.859678,87.05380965955555,,0
2716,66.819256,98.85935,887.617824859044,,0
73,68.42963,101.64974,688.1028259422601,,0
3346,61.938484,100.131732,599.1510750949383,,0
4609,63.259775,99.503554,598.6704485714436,,0
338,62.582013,96.999609,599.548766054213,,0
1936,60.30432,99.341429,10856.339512959124,,0
4045,59.740036,102.525741,5048.702335268259,,0
958,61.238595,103.337776,706.2376409471035,,0
2441,59.978023,106.30921,865.7829230129719,,0
3892,69.971609,103.764629,1034.4024020805955,,0
1263,69.761745,108.545591,702.4622030332685,,0
3443,71.240117,106.943056,1110.0757147222755,,0
2940,56.559342,123.061274,19966.83946382999,,0
2692,55.015254,126.145818,42913.76961008459,,0
44,54.847694,122.948893,15740.42170137167,,0
2032,58.465171,123.564407,16854.030573129654,,0
1294,57.321649,120.248987,7943.504011631012,,0
1182,56.768818,126.804455,25306.4712433815,,0
3343,55.735833,119.85688,3370.828938513994,,0
3679,62.190976,169.292761,1071.5969504006207,,0
366,60.675998,169.137129,1292.9672390084888,,0
1968,62.261693,165.990023,909.1623331409064,,0
3351,64.590984,169.583466,1082.6651714146135,,0
1168,63.316775,171.758636,1027.8252284824848,,0
3223,61.366662,172.246357,1376.028277763697,,0
4258,-25.350066,31.555037,2113659.5692700744,94.28223180770874,120854
4017,-26.851578,31.08872,1476132.3768066168,76.75401195769126,343142
2265,34.230433,5.836886,1238083.4899978638,89.59339417909321,128842
4893,35.606872,6.640031,3382970.0386582613,98.11998596191407,63600
1079,32.254193,5.692302,617307.9019582272,99.99617852105035,24
3936,35.295079,4.616282,2694360.413570404,99.30532500323127,18717
2660,33.362527,3.813259,922522.66191864,99.92690331595284,674
