location_id,latitude,longitude,bioenergy_Announced,bioenergy_Existing,coal_Announced,coal_Existing,geothermal_Announced,geothermal_Existing,hydropower_Announced,hydropower_Existing,nuclear_Announced,nuclear_Existing,oil_gas_Announced,oil_gas_Existing,solar_Announced,solar_Existing,wind_Announced,wind_Existing
60,-30.961972909570772,132.43572237288404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,81.18084223074537,-85.09608149417721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,-9.567251202659927,-77.87393638477226,0.0,44.7,0.0,0.0,0.0,0.0,790.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0
63,49.79519080808746,-77.7625756224148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,-6.131667293349671,155.2323449467692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,-87.2627988687655,154.01405339359835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,-15.191090167496663,127.75724638894445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,63.427906756376295,62.558246920644244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,18.216160802850283,-65.95011105808538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,1592.0,20.0,72.0,0.0,26.0
69,11.898045111882745,29.389791023054563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,52.49015496831611,-131.73254666552987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,-71.73083677653865,-74.36525211692334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,68.39868661062849,101.48206198736871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,16.807889193394022,106.51023344114051,109.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,372.9,108.0,819.0
75,-67.37587326563576,91.80653657269721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,6.239617301385542,-4.648024462858562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0
77,70.64411499926476,-157.38535599001494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,40.14480203609207,96.827785826894,0.0,0.0,4000.0,6000.0,0.0,0.0,1200.0,53.0,0.0,0.0,0.0,0.0,1820.0,3065.9,1700.0,7516.0
80,46.68761105315848,67.5044697227024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,-5.846032123748252,13.315157058869355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1775.0,0.0,0.0,575.0,720.0,0.0,0.0,0.0,0.0
82,-18.70516454725318,31.513165570990257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0
83,5.106433914452035,95.70411540997776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,-15.528131561342596,-46.51243421552801,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.2,1103.0,0.0,0.0
85,30.874445955214327,-102.23237644086316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.0,2147.0,0.0,3207.5,0.0,2312.7
87,22.079190786124993,-79.32803003462594,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.2,6.800000000000001,0.0,0.0
88,0.09641080045130508,-65.94069810986568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,-22.762062853119918,-69.77926726171471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.8,2288.8,192.0,272.0
91,54.74434032393266,-2.003577719280272,377.0,218.2,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1310.0,0.0,425.8,98.39999999999999,206.6,416.0,1278.6
93,-3.552039493004706,121.77827823373971,0.0,0.0,0.0,8170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,200.0,0.0,0.0,0.0
94,-79.48075068448372,47.245806202971444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,57.70407643791354,-95.57789372574706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,32.20942237752462,12.839012025932384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2736.0,2874.0,0.0,0.0,0.0,0.0
98,21.749334193568355,79.63701249467863,0.0,20.0,0.0,9996.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,164.7,0.0,0.0
99,42.216868273341106,125.7533462339667,40.0,135.0,0.0,1200.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,375.0,100.0,320.7,32.7,1726.0
100,41.257855485942606,-122.49981625814817,0.0,189.3,0.0,0.0,0.0,0.0,0.0,2057.0,0.0,0.0,0.0,611.0,1.5,37.0,0.0,102.2
101,18.48078198333472,55.97498275369073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,252.0,0.0,105.0,200.0,0.0
102,-34.9369140648123,173.1449769366416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.8,39.0,0.0,0.0
103,20.180689377534453,16.02562051883874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,36.02080682862317,37.176361006145754,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,1491.0,0.0,0.0,0.0,1056.0,178.0,121.8,0.0,382.5
105,50.66080260730089,142.62054257138087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,78.53951908832667,-19.86115570431845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,60.562634382701,-44.06817632057243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,-31.908895852133416,152.042064830108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,1.0,0.0,0.0
110,-45.755666183335514,167.61100282768453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,58.0
111,36.95083463313763,57.857406654807924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,2658.0,0.0,10.9,0.0,0.0
113,-0.5791735763550209,39.73992599901899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0
114,-71.83562927708502,169.41303856711755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,63.670198180649415,138.0885814826158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,21.21597767249948,36.594006877356605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,40.41440315765644,81.56578193933801,0.0,0.0,165.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4348.0,2080.0,0.0,0.0
118,46.27480053970037,110.49364774366512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,-71.01446180068298,16.560789165732377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,13.713842432162275,-87.72021454488532,0.0,131.5,0.0,0.0,37.0,110.2,0.0,247.0,0.0,0.0,0.0,349.6,0.0,766.8,0.0,235.0
121,-11.272578449649021,142.40080232295495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,-4.029482056294207,-47.9547898859732,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0
123,4.317937829322007,20.83621567280362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,65.06850286398584,177.84034594987185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,-38.04668026328366,-58.513181666559426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.5
126,-77.0152963540042,100.6351834196978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,-84.53276104544533,-77.8749482533617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,62.021030437744315,-139.6394284442379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,-12.90352838452779,21.94318685942477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,44.21020653597028,-91.83885518795928,0.0,23.0,0.0,387.0,0.0,0.0,0.0,0.0,0.0,1126.0,299.1,1306.6,197.0,189.9,473.0,676.5
131,52.5024253996715,31.35397640988873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,0.0,77.0,0.0,0.0
133,39.66603388007138,-74.94784225108145,0.0,349.5,0.0,0.0,0.0,0.0,87.0,0.0,300.0,3694.0,0.0,17901.0,38.3,985.7,0.0,2.0
134,-34.6222537656729,117.70119670613221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
135,-22.2903401918757,-58.39769430979135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
136,23.48567865807641,116.08291758190528,0.0,451.5,2000.0,2670.0,0.0,0.0,5000.0,1327.0,0.0,0.0,1640.0,600.0,2515.0,1354.1,0.0,397.0
137,58.28938723349062,105.20245997618281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,27.38654339903884,104.49723981732703,0.0,87.0,3960.0,5700.0,0.0,0.0,1490.0,634.0,0.0,0.0,0.0,0.0,1943.0,4782.0,76.8,1704.4
139,55.88786517739589,-114.76289111310015,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,-20.759487504088863,137.05266916422434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,55.56590182185073,-63.3260911978958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,16.663721252184132,-5.49859502163573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,27.156390911357946,61.31361443174193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,0.0,0.0,0.0,0.0
144,71.86552209461412,-89.38564932916063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,31.639835760831136,-6.555343052409961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.0,0.0,0.0,0.0,0.0,100.0,582.0,100.0,0.0
146,-7.916739799800851,112.1492084021355,0.0,0.0,0.0,630.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
147,56.93562000377497,47.07821119707519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1370.0,0.0,0.0,0.0,655.0,0.0,0.0,0.0,0.0
149,70.36655744288707,-44.515378845314785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,37.56441504067691,-110.77618776936619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1312.0,0.0,0.0,0.0,0.0,400.0,55.0,0.0,0.0
151,-46.10195345083806,-74.28842408452982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,53.54277972821084,15.33654921337709,0.0,96.9,0.0,1111.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,1700.0,51.0,384.0,57.0,2581.0
