location_id,latitude,longitude,annual_demand_kwh
1409,-85.533889770507812,33.854080200195312,0
1793,-77.161895751953125,39.56878662109375,0
2836,-79.309837341308594,38.717460632324219,0
776,-76.043418884277344,-2.993535041809082,0
4348,-74.897476196289062,-6.5465860366821289,0
1563,-78.335990905761719,-7.3835639953613281,0
4761,-77.508552551269531,-2.3400709629058838,0
1412,-73.537765502929688,-5.756019115447998,0
2560,-74.308456420898438,0.27560698986053467,0
2102,-72.173301696777344,-0.076164998114109039,0
1757,-77.8709716796875,3.5097420215606689,0
1775,-75.488151550292969,6.4555158615112305,0
4345,-76.851608276367188,7.7434101104736328,0
4048,-81.01422119140625,5.4767231941223145,0
4917,-76.440544128417969,2.5100619792938232,0
3344,-79.486000061035156,2.2839410305023193,0
1264,-33.114089965820312,18.237062454223633,12306546688
1780,-67.645332336425781,89.123268127441406,0
3690,-73.262039184570312,93.747909545898438,0
1734,-71.744972229003906,94.947929382324219,0
863,-69.582389831542969,92.404747009277344,0
3396,-85.81146240234375,54.594295501708984,0
3178,-88.799064636230469,54.674083709716797,0
692,-83.429214477539062,50.286361694335938,0
4180,-82.431999206542969,41.522369384765625,0
1492,-81.021896362304688,41.266002655029297,0
268,-41.133319854736328,175.0853271484375,9070659584
604,-37.627902984619141,178.17448425292969,1472865536
1810,-68.518760681152344,145.52682495117188,0
1635,-75.41314697265625,147.86801147460938,0
4514,-76.598785400390625,151.53622436523438,0
2025,-71.89801025390625,138.34011840820312,0
3746,-70.401222229003906,139.2196044921875,0
1010,-83.387420654296875,140.89187622070312,0
2878,-76.612113952636719,142.55975341796875,0
2802,-78.640335083007812,140.11128234863281,0
4419,-75.341751098632812,140.32890319824219,0
620,-73.98095703125,140.46858215332031,0
1247,-80.442840576171875,141.67173767089844,0
4895,-74.357223510742188,145.09573364257812,0
4203,-72.163970947265625,142.8160400390625,0
4053,-79.322311401367188,146.78204345703125,0
4141,-66.559516906738281,97.039924621582031,0
75,-65.782577514648438,92.49615478515625,0
2540,-67.653472900390625,94.037818908691406,0
2373,-75.495498657226562,106.85663604736328,0
3964,-74.120269775390625,105.04799652099609,0
4546,79.089874267578125,-74.649909973144531,0
2840,70.354324340820312,-28.727243423461914,0
1447,68.746307373046875,-26.771093368530273,0
1902,66.101982116699219,-23.51072883605957,453064576
4681,68.7608642578125,-30.576351165771484,0
1751,72.112068176269531,-29.80262565612793,0
3496,79.512001037597656,-34.381149291992188,0
275,83.585365295410156,-30.934848785400391,0
4751,78.577644348144531,-39.144550323486328,0
444,75.321540832519531,-38.912410736083984,0
107,60.066810607910156,-43.552677154541016,0
4702,66.277732849121094,-52.899372100830078,0
1763,79.126533508300781,96.800521850585938,0
2736,71.105049133300781,129.60171508789062,413077760
2194,69.548637390136719,127.03002166748047,570462144
1854,71.184547424316406,137.2789306640625,560392192
272,71.398307800292969,-178.75201416015625,81754336
2465,62.249446868896484,175.13851928710938,346192000
1017,72.704154968261719,142.50225830078125,296242272
2858,75.081092834472656,142.63784790039062,0
1587,71.17767333984375,148.63134765625,575537664
2975,-23.916357040405273,47.533710479736328,0
3431,-13.907319068908691,50.012760162353516,0
1016,-12.433441162109375,49.445331573486328,0
2807,-23.4068603515625,19.156085968017578,358661344
